"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13"
"1" "1" "phy" "10" "100" "1e-08" "1" "25" "20" "5" "8" "0.8" "0.714285714285714" "28"
"2" "1" "tsh" "10" "100" "1e-08" "1" "13" "0" "13" "28" "0" "0" "28"
"3" "2" "phy" "10" "100" "1e-08" "1" "23" "20" "3" "2" "0.869565217391304" "0.909090909090909" "22"
"4" "2" "tsh" "10" "100" "1e-08" "1" "13" "4" "9" "18" "0.307692307692308" "0.181818181818182" "22"
"5" "3" "phy" "10" "100" "1e-08" "1" "26" "23" "3" "1" "0.884615384615385" "0.958333333333333" "24"
"6" "3" "tsh" "10" "100" "1e-08" "1" "12" "2" "10" "22" "0.166666666666667" "0.0833333333333333" "24"
"7" "4" "phy" "10" "100" "1e-08" "1" "29" "20" "9" "6" "0.689655172413793" "0.769230769230769" "26"
"8" "4" "tsh" "10" "100" "1e-08" "1" "12" "2" "10" "24" "0.166666666666667" "0.0769230769230769" "26"
"9" "5" "phy" "10" "100" "1e-08" "1" "26" "23" "3" "1" "0.884615384615385" "0.958333333333333" "24"
"10" "5" "tsh" "10" "100" "1e-08" "1" "6" "1" "5" "23" "0.166666666666667" "0.0416666666666667" "24"
"11" "6" "phy" "10" "100" "1e-08" "1" "28" "21" "7" "6" "0.75" "0.777777777777778" "27"
"12" "6" "tsh" "10" "100" "1e-08" "1" "13" "2" "11" "25" "0.153846153846154" "0.0740740740740741" "27"
"13" "7" "phy" "10" "100" "1e-08" "1" "27" "21" "6" "5" "0.777777777777778" "0.807692307692308" "26"
"14" "7" "tsh" "10" "100" "1e-08" "1" "10" "2" "8" "24" "0.2" "0.0769230769230769" "26"
"15" "8" "phy" "10" "100" "1e-08" "1" "43" "34" "9" "3" "0.790697674418605" "0.918918918918919" "37"
"16" "8" "tsh" "10" "100" "1e-08" "1" "12" "0" "12" "37" "0" "0" "37"
"17" "9" "phy" "10" "100" "1e-08" "1" "25" "24" "1" "4" "0.96" "0.857142857142857" "28"
"18" "9" "tsh" "10" "100" "1e-08" "1" "6" "1" "5" "27" "0.166666666666667" "0.0357142857142857" "28"
"19" "10" "phy" "10" "100" "1e-08" "1" "28" "24" "4" "2" "0.857142857142857" "0.923076923076923" "26"
"20" "10" "tsh" "10" "100" "1e-08" "1" "8" "0" "8" "26" "0" "0" "26"
"21" "11" "phy" "10" "100" "1e-08" "1" "25" "20" "5" "2" "0.8" "0.909090909090909" "22"
"22" "11" "tsh" "10" "100" "1e-08" "1" "10" "2" "8" "20" "0.2" "0.0909090909090909" "22"
"23" "12" "phy" "10" "100" "1e-08" "1" "21" "21" "0" "4" "1" "0.84" "25"
"24" "12" "tsh" "10" "100" "1e-08" "1" "15" "1" "14" "24" "0.0666666666666667" "0.04" "25"
"25" "13" "phy" "10" "100" "1e-08" "1" "36" "31" "5" "2" "0.861111111111111" "0.939393939393939" "33"
"26" "13" "tsh" "10" "100" "1e-08" "1" "7" "1" "6" "32" "0.142857142857143" "0.0303030303030303" "33"
"27" "14" "phy" "10" "100" "1e-08" "1" "28" "24" "4" "3" "0.857142857142857" "0.888888888888889" "27"
"28" "14" "tsh" "10" "100" "1e-08" "1" "9" "1" "8" "26" "0.111111111111111" "0.037037037037037" "27"
"29" "15" "phy" "10" "100" "1e-08" "1" "33" "30" "3" "1" "0.909090909090909" "0.967741935483871" "31"
"30" "15" "tsh" "10" "100" "1e-08" "1" "20" "0" "20" "31" "0" "0" "31"
"31" "16" "phy" "10" "100" "1e-08" "1" "27" "21" "6" "5" "0.777777777777778" "0.807692307692308" "26"
"32" "16" "tsh" "10" "100" "1e-08" "1" "9" "0" "9" "26" "0" "0" "26"
"33" "17" "phy" "10" "100" "1e-08" "1" "20" "18" "2" "3" "0.9" "0.857142857142857" "21"
"34" "17" "tsh" "10" "100" "1e-08" "1" "9" "1" "8" "20" "0.111111111111111" "0.0476190476190476" "21"
"35" "18" "phy" "10" "100" "1e-08" "1" "40" "28" "12" "1" "0.7" "0.96551724137931" "29"
"36" "18" "tsh" "10" "100" "1e-08" "1" "18" "0" "18" "29" "0" "0" "29"
"37" "19" "phy" "10" "100" "1e-08" "1" "35" "27" "8" "4" "0.771428571428571" "0.870967741935484" "31"
"38" "19" "tsh" "10" "100" "1e-08" "1" "14" "1" "13" "30" "0.0714285714285714" "0.032258064516129" "31"
"39" "20" "phy" "10" "100" "1e-08" "1" "37" "31" "6" "3" "0.837837837837838" "0.911764705882353" "34"
"40" "20" "tsh" "10" "100" "1e-08" "1" "10" "1" "9" "33" "0.1" "0.0294117647058824" "34"
"41" "21" "phy" "10" "100" "1e-08" "1" "25" "20" "5" "5" "0.8" "0.8" "25"
"42" "21" "tsh" "10" "100" "1e-08" "1" "9" "0" "9" "25" "0" "0" "25"
"43" "22" "phy" "10" "100" "1e-08" "1" "25" "22" "3" "4" "0.88" "0.846153846153846" "26"
"44" "22" "tsh" "10" "100" "1e-08" "1" "12" "0" "12" "26" "0" "0" "26"
"45" "23" "phy" "10" "100" "1e-08" "1" "25" "18" "7" "6" "0.72" "0.75" "24"
"46" "23" "tsh" "10" "100" "1e-08" "1" "6" "0" "6" "24" "0" "0" "24"
"47" "24" "phy" "10" "100" "1e-08" "1" "28" "26" "2" "4" "0.928571428571429" "0.866666666666667" "30"
"48" "24" "tsh" "10" "100" "1e-08" "1" "3" "0" "3" "30" "0" "0" "30"
"49" "25" "phy" "10" "100" "1e-08" "1" "33" "26" "7" "4" "0.787878787878788" "0.866666666666667" "30"
"50" "25" "tsh" "10" "100" "1e-08" "1" "4" "0" "4" "30" "0" "0" "30"
"51" "26" "phy" "10" "100" "1e-08" "1" "30" "25" "5" "3" "0.833333333333333" "0.892857142857143" "28"
"52" "26" "tsh" "10" "100" "1e-08" "1" "14" "1" "13" "27" "0.0714285714285714" "0.0357142857142857" "28"
"53" "27" "phy" "10" "100" "1e-08" "1" "26" "20" "6" "5" "0.769230769230769" "0.8" "25"
"54" "27" "tsh" "10" "100" "1e-08" "1" "11" "1" "10" "24" "0.0909090909090909" "0.04" "25"
"55" "28" "phy" "10" "100" "1e-08" "1" "23" "19" "4" "3" "0.826086956521739" "0.863636363636364" "22"
"56" "28" "tsh" "10" "100" "1e-08" "1" "20" "1" "19" "21" "0.05" "0.0454545454545455" "22"
"57" "29" "phy" "10" "100" "1e-08" "1" "27" "26" "1" "7" "0.962962962962963" "0.787878787878788" "33"
"58" "29" "tsh" "10" "100" "1e-08" "1" "11" "3" "8" "30" "0.272727272727273" "0.0909090909090909" "33"
"59" "30" "phy" "10" "100" "1e-08" "1" "27" "21" "6" "2" "0.777777777777778" "0.91304347826087" "23"
"60" "30" "tsh" "10" "100" "1e-08" "1" "13" "0" "13" "23" "0" "0" "23"
"61" "31" "phy" "10" "100" "1e-08" "1" "25" "22" "3" "3" "0.88" "0.88" "25"
"62" "31" "tsh" "10" "100" "1e-08" "1" "14" "0" "14" "25" "0" "0" "25"
"63" "32" "phy" "10" "100" "1e-08" "1" "15" "12" "3" "2" "0.8" "0.857142857142857" "14"
"64" "32" "tsh" "10" "100" "1e-08" "1" "4" "0" "4" "14" "0" "0" "14"
"65" "33" "phy" "10" "100" "1e-08" "1" "26" "23" "3" "4" "0.884615384615385" "0.851851851851852" "27"
"66" "33" "tsh" "10" "100" "1e-08" "1" "20" "2" "18" "25" "0.1" "0.0740740740740741" "27"
"67" "34" "phy" "10" "100" "1e-08" "1" "17" "16" "1" "3" "0.941176470588235" "0.842105263157895" "19"
"68" "34" "tsh" "10" "100" "1e-08" "1" "6" "0" "6" "19" "0" "0" "19"
"69" "35" "phy" "10" "100" "1e-08" "1" "32" "23" "9" "5" "0.71875" "0.821428571428571" "28"
"70" "35" "tsh" "10" "100" "1e-08" "1" "10" "0" "10" "28" "0" "0" "28"
"71" "36" "phy" "10" "100" "1e-08" "1" "29" "27" "2" "4" "0.931034482758621" "0.870967741935484" "31"
"72" "36" "tsh" "10" "100" "1e-08" "1" "12" "2" "10" "29" "0.166666666666667" "0.0645161290322581" "31"
"73" "37" "phy" "10" "100" "1e-08" "1" "28" "22" "6" "0" "0.785714285714286" "1" "22"
"74" "37" "tsh" "10" "100" "1e-08" "1" "12" "0" "12" "22" "0" "0" "22"
"75" "38" "phy" "10" "100" "1e-08" "1" "22" "20" "2" "8" "0.909090909090909" "0.714285714285714" "28"
"76" "38" "tsh" "10" "100" "1e-08" "1" "12" "2" "10" "26" "0.166666666666667" "0.0714285714285714" "28"
"77" "39" "phy" "10" "100" "1e-08" "1" "27" "21" "6" "3" "0.777777777777778" "0.875" "24"
"78" "39" "tsh" "10" "100" "1e-08" "1" "10" "1" "9" "23" "0.1" "0.0416666666666667" "24"
"79" "40" "phy" "10" "100" "1e-08" "1" "28" "23" "5" "3" "0.821428571428571" "0.884615384615385" "26"
"80" "40" "tsh" "10" "100" "1e-08" "1" "7" "1" "6" "25" "0.142857142857143" "0.0384615384615385" "26"
"81" "41" "phy" "10" "100" "1e-08" "1" "35" "30" "5" "2" "0.857142857142857" "0.9375" "32"
"82" "41" "tsh" "10" "100" "1e-08" "1" "14" "1" "13" "31" "0.0714285714285714" "0.03125" "32"
"83" "42" "phy" "10" "100" "1e-08" "1" "26" "20" "6" "5" "0.769230769230769" "0.8" "25"
"84" "42" "tsh" "10" "100" "1e-08" "1" "7" "1" "6" "24" "0.142857142857143" "0.04" "25"
"85" "43" "phy" "10" "100" "1e-08" "1" "22" "20" "2" "4" "0.909090909090909" "0.833333333333333" "24"
"86" "43" "tsh" "10" "100" "1e-08" "1" "17" "1" "16" "23" "0.0588235294117647" "0.0416666666666667" "24"
